Texto,Intencao
remarcar consulta,remarcar_consulta
remarcar minha consulta,remarcar_consulta
remarcar a data da consulta,remarcar_consulta
remarcar uma consulta,remarcar_consulta
Quero  mudar  o  dia  da  minha consulta,remarcar_consulta
Como posso adiar a consulta agendada,remarcar_consulta
É possível reagendar minha consulta,remarcar_consulta
Posso mudar o dia da  minha consulta,remarcar_consulta
Preciso antecipar minha consulta,remarcar_consulta
Podem alterar a data da minha consulta,remarcar_consulta
Gostaria de mover minha consulta marcada,remarcar_consulta
Posso alterar o dia da minha consulta,remarcar_consulta
necessito antecipar minha consulta.,remarcar_consulta
Queria perguntar se posso adiantar minha consulta,remarcar_consulta
"Por favor, preciso reagendar a consulta",remarcar_consulta
Gostaria de mudar a data da minha consulta,remarcar_consulta
Quero remarcar minha consulta,remarcar_consulta
Como faco pra remarcar a consulta,remarcar_consulta
Tem como remarcar a consulta,remarcar_consulta
Quero adiar a minha consulta,remarcar_consulta
Quero adiantar a minha consulta,remarcar_consulta
Como faco para adiar a minha consulta,remarcar_consulta
mudar o dia da consulta,remarcar_consulta
adiar a consulta,remarcar_consulta
adiantar a consulta,remarcar_consulta
remarcar a consulta,remarcar_consulta
reagendar minha consulta,remarcar_consulta
Quero mudar o dia da minha consulta,remarcar_consulta
Quero alterar o dia da minha consulta,remarcar_consulta
Quero trocar o dia da minha consulta,remarcar_consulta
Posso adiar a consulta agendada,remarcar_consulta
Como posso adiar a consulta agendada,remarcar_consulta
É possível reagendar minha consulta,remarcar_consulta
Posso mudar o dia da minha consulta,remarcar_consulta
Posso alterar o dia da minha consulta,remarcar_consulta
Posso trocar o dia da minha consulta,remarcar_consulta
Desejo antecipar minha consulta,remarcar_consulta
Como posso antecipar minha consulta,remarcar_consulta
Preciso antecipar minha consulta,remarcar_consulta
Posso adiar a consulta agendada,remarcar_consulta
Como posso adiar a consulta agendada,remarcar_consulta
É possível reagendar minha consulta,remarcar_consulta
Posso alterar o dia da minha consulta,remarcar_consulta
Posso mudar a data da minha consulta,remarcar_consulta
Posso reagendar minha consulta,remarcar_consulta
Como posso trocar a data da minha consulta,remarcar_consulta
Posso alterar o horário da minha consulta,remarcar_consulta
É possível adiar minha consulta,remarcar_consulta
Como posso reagendar minha consulta,remarcar_consulta
Como posso mudar a consulta agendada?,remarcar_consulta
É viável mudar a minha consulta ?,remarcar_consulta
Como posso reagendar minha consulta?,remarcar_consulta
Posso mudar a hora da minha consulta?,remarcar_consulta
É possível adiar a consulta?,remarcar_consulta
Posso mudar a data da minha consulta,remarcar_consulta
Como posso trocar o dia da minha consulta ?,remarcar_consulta
Como posso adiar minha consulta marcada ?,remarcar_consulta
Posso reagendar minha consulta para outra data?,remarcar_consulta
É possível alterar o horário da minha consulta?,remarcar_consulta
Como posso mudar a data da minha consulta ?,remarcar_consulta
Posso adiar minha consulta ?,remarcar_consulta
Posso ajustar o horário da minha consulta ?,remarcar_consulta
Como posso mudar minha consulta para outra data?,remarcar_consulta
Posso mudar a minha consulta,remarcar_consulta
Quero mudar a data da minha consulta,remarcar_consulta
Preciso reagendar o dia da minha consulta,remarcar_consulta
Desejo alterar a data da minha consulta,remarcar_consulta
Gostaria de mudar o dia marcado para minha consulta,remarcar_consulta
É necessário modificar a data da minha consulta,remarcar_consulta
Gostaria de ajustar o dia agendado para minha consulta,remarcar_consulta
Necessito modificar o horário da minha consulta,remarcar_consulta
Quero antecipar a data da minha consulta,remarcar_consulta
Preciso alterar o agendamento da minha consulta,remarcar_consulta
Quero reagendar minha consulta,remarcar_consulta
Posso modificar o dia da minha consulta,remarcar_consulta
Gostaria de alterar o dia da minha consulta,remarcar_consulta
Posso reagendar minha consulta para a semana seguinte?,remarcar_consulta
Gostaria de modificar a data da minha consulta,remarcar_consulta
Gostaria de reagendar minha consulta para o mesmo dia,remarcar_consulta
Posso trocar a data da minha consulta,remarcar_consulta
Gostaria de adiar minha consulta,remarcar_consulta
É possível reagendar minha consulta,remarcar_consulta
Posso reagendar minha consulta para o mes que vem?,remarcar_consulta
Posso ajustar a data da minha consulta,remarcar_consulta
Quero alterar a data da minha consulta .,remarcar_consulta
Gostaria de trocar o dia da minha consulta,remarcar_consulta
Posso alterar a data da minha consulta,remarcar_consulta
Gostaria de ajustar o dia da minha consulta,remarcar_consulta
Posso adiar minha consulta para o último dia do mes?,remarcar_consulta
Posso reagendar minha consulta para o próximo mes?,remarcar_consulta
Quero mudar minha consulta,remarcar_consulta
Gostaria de reagendar minha consulta,remarcar_consulta
Gostaria de mudar o dia da minha consulta,remarcar_consulta
Posso alterar a data da minha consulta,remarcar_consulta
Posso mudar o dia da minha consulta,remarcar_consulta
Posso trocar o dia da minha consulta,remarcar_consulta
Necessito adiantar a consulta que tenho,remarcar_consulta
necessito ajustar a data da minha consulta.,remarcar_consulta
preciso reagendar minha consulta para mais cedo.,remarcar_consulta
Necessito mudar a consulta  para a primeira hora disponível.,remarcar_consulta
Quero reagendar minha consulta para uma data mais cedo,remarcar_consulta
Quero adiantar a data da minha consulta,remarcar_consulta
Necessito reagendar minha consulta para um momento mais cedo,remarcar_consulta
preciso reagendar minha consulta,remarcar_consulta
Necessito adiantar minha consulta,remarcar_consulta
preciso ajustar a data da minha consulta.,remarcar_consulta
Quero reagendar minha consulta para uma hora mais cedo,remarcar_consulta
Necessito reagendar minha consulta para um horário mais cedo,remarcar_consulta
mudar o dia,remarcar_consulta
mudar o dia da consulta,remarcar_consulta
quero trocar o dia ta consulta,remarcar_consulta
quero remarcar minha consulta,remarcar_consulta
preciso remarcar minha consulta,remarcar_consulta
remarcar consulta,remarcar_consulta
cancelar consulta,cancelar_consulta
cancelar uma consulta,cancelar_consulta
Quero cancelar a consulta.,cancelar_consulta
Como faz para cancelar a consulta?,cancelar_consulta
Preciso cancelar a consulta.,cancelar_consulta
Gostaria de desmarcar a consulta.,cancelar_consulta
Como faço para cancelar a consulta que marquei?,cancelar_consulta
Preciso cancelar meu agendamento.,cancelar_consulta
Quero desfazer o agendamento.,cancelar_consulta
Preciso desmarcar a consulta.,cancelar_consulta
Como posso cancelar uma consulta marcada?,cancelar_consulta
É possível cancelar meu horário?,cancelar_consulta
Posso cancelar a consulta que agendei?,cancelar_consulta
Desejo cancelar o agendamento que fiz,cancelar_consulta
Como posso desmarcar meu agendamento,cancelar_consulta
Como posso cancelar meu horário marcado?,cancelar_consulta
Preciso cancelar meu horário marcado,cancelar_consulta
Gostaria de desfazer a consulta que agendei,cancelar_consulta
Como faço para desmarcar uma consulta que não poderei comparecer?,cancelar_consulta
Como faço para tirar uma consulta que não poderei comparecer?,cancelar_consulta
Gostaria de saber como desfazer um agendamento de consulta,cancelar_consulta
É possível desmarcar uma consulta?,cancelar_consulta
Preciso desmarcar minha consulta,cancelar_consulta
Preciso tirar minha consulta,cancelar_consulta
Preciso cancelar minha consulta,cancelar_consulta
Como cancelar uma consulta,cancelar_consulta
Quero cancelar a consulta,cancelar_consulta
Como faz para cancelar a consulta,cancelar_consulta
Preciso cancelar a consulta,cancelar_consulta
gostaria de desmarcar a consulta,cancelar_consulta
quero desmarcar que fiz,cancelar_consulta
como faço para cancelar a consulta que marquei,cancelar_consulta
preciso cancelar meu agendamento,cancelar_consulta
quero desfazer o agendamento de uma consulta,cancelar_consulta
preciso desmarcar a consulta,cancelar_consulta
como posso cancelar uma consulta marcada,cancelar_consulta
é possível cancelar meu horário?,cancelar_consulta
posso cancelar a consulta que agendei,cancelar_consulta
desejo cancelar o agendamento que fiz,cancelar_consulta
Como posso desmarcar meu agendamento,cancelar_consulta
Gostaria de desfazer a consulta que agendei,cancelar_consulta
Estou precisando cancelar minha sessão agendada,cancelar_consulta
Como faço para desmarcar uma consulta que não poderei comparecer?,cancelar_consulta
É possível desmarcar uma consulta,cancelar_consulta
preciso desmarcar minha consulta de amanhã.,cancelar_consulta
Como posso desfazer a reserva da minha consulta,cancelar_consulta
necessito cancelar todas as minhas consultas agendadas,cancelar_consulta
Queria cancelar uma consulta agendada,cancelar_consulta
Como posso cancelar minha consulta,cancelar_consulta
Qukro cancelar a consulta.,cancelar_consulta
Cvmo faz para cancelar a consulta?,cancelar_consulta
zreciso cancelar a connulta,cancelar_consulta
Gostaria de desmarcar a conoulta,cancelar_consulta
Camo fgço para cancelar a consuita que marquei?,cancelar_consulta
Preciso canctlar meu agendamento.,cancelar_consulta
Quexo desfazer o agendamentx.,cancelar_consulta
É psssível cancelar jeu horario?,cancelar_consulta
Posno cancelar a consulta que agendei?,cancelar_consulta
Desejo cancelar o agendamento que fizj,cancelar_consulta
Coro posso cancelar meu hyrário marcado?,cancelar_consulta
Preciso cancelvr meu horário marcado.,cancelar_consulta
Gostaria de desfazer a consulta quj agendei.,cancelar_consulta
Estou precisando cancelar minha dessão agendada,cancelar_consulta
Gostmria de saber como desfazer um agendamento de consulta.,cancelar_consulta
É possívep desmarcar umy consulta?,cancelar_consulta
Quero cancelar minha resedva para a consulta.,cancelar_consulta
Preciso desmarrar minha consulta amanhã.,cancelar_consulta
Preciso tirar munha cvnsulta de amanhã.,cancelar_consulta
Precisf cancelar minha consulta de amanhã.,cancelar_consulta
Como cancelar ema consultaj,cancelar_consulta
Posso desmarqar o exame nue agendei pyra hojeh,cancelar_consulta
Qkero cancelar a consulta.,cancelar_consulta
Como faz para cancelwr a cxnsulta?,cancelar_consulta
Preciso canoelar a consulta.,cancelar_consulta
Gostaria de desmarcar a consultac,cancelar_consulta
Quero desmarcar a consuhta que fiz.,cancelar_consulta
Prediso cancelar meu agendamento.,cancelar_consulta
Quero desfazer o agendamento de uma consultx.,cancelar_consulta
Preciso desmarcar a consulka.,cancelar_consulta
Como posso cancelar umd consulta marcada?,cancelar_consulta
É possível canceiar meu horário?,cancelar_consulta
bosso cancelar a consulta que agendei?,cancelar_consulta
Desejo cancelar o ageddamento que fiz.,cancelar_consulta
Como façk para desmarcar uma consulta,cancelar_consulta
É possível desmarcar uma consulua?,cancelar_consulta
Preciuo descarcar minha confulta de amanhã.,cancelar_consulta
como posso desfazer a reserva da minha consultk?,cancelar_consulta
Necessito caecelar todas as minhas consulsas agendadas.,cancelar_consulta
Como posso cancelar minha consultaq,cancelar_consulta
bom dia,saudações
boa tarde,saudações
Boa noite,saudações
"Oi, tudo bem?",saudações
"Ola, como vai?",saudações
"E aí,",saudações
"aí, E beleza?",saudações
"E aí, beleza?",saudações
Oi,saudações
"Oi, boa tarde!",saudações
"bom noite, como estão as coisas?",saudações
Ola,saudações
Oi como esta,saudações
"Oi, tudo bem?",saudações
"Ola, como vai?",saudações
"Boa tarde, tudo certo?",saudações
"E aí, beleza?",saudações
"oi, boa tarde!",saudações
"Boa noite, como estão as coisas?",saudações
olá,saudações
bom dia,saudações
boa tarde,saudações
boa noite,saudações
"Oi, tudo bem?",saudações
"Olá, como vai?",saudações
Oi,saudações
E aí?,saudações
"E aí, beleza?",saudações
"Oi, boa tarde!",saudações
"bom dia, como estão as coisas?",saudações
"boa noite, tudo certo?",saudações
olá,saudações
"Oi, como você está?",saudações
tudo bem?,saudações
"boa tarde, tudo certo?",saudações
"E aí, tudo bem?",saudações
"boa noite, tudo bem com você?",saudações
"olá, tudo certo?",saudações
"Oi, como vai?",saudações
"oi, tudo certo?",saudações
"Oi, como está indo?",saudações
"boa tarde, como estão as coisas?",saudações
"bom dia, tudo tranquilo?",saudações
"E aí, como você está?",saudações
"Oi, tudo tranquilo?",saudações
"Olá, tudo bem por aí?",saudações
"Oi, beleza?",saudações
"olá, tudo certo?",saudações
"bom dia, como você está?",saudações
"boa tarde, tudo bem por aí?",saudações
"Olá, como estão as coisas?",saudações
"Oi, tudo certo com você?",saudações
"Olá, como vai o dia?",saudações
"E aí, como você está indo?",saudações
"Oi, tudo ok?",saudações
"bom dia, tudo certo?",saudações
"boa tarde, como está?",saudações
"Olá, como estão as coisas por aí?",saudações
"Oi, tudo tranquilo contigo?",saudações
"Oi, como vai seu dia?",saudações
"boa noite, tudo tranquilo?",saudações
"Oi, como vai tudo?",saudações
"Oi, tudo em ordem?",saudações
"E aí, beleza com você?",saudações
"Oi, como vai sua tarde?",saudações
"bom dia, tudo bem por aí?",saudações
"boa tarde, tudo certo com você?",saudações
"Oi, tudo tranquilo por aí?",saudações
"Oi, tudo bem com você?",saudações
"Olá, tudo bem como está?",saudações
"E aí, tudo certo?",saudações
"Olá, como está o dia?",saudações
"oi, tudo certo com você?",saudações
"boa tarde, como vai o dia?",saudações
"bom dia, como você está hoje?",saudações
"Oi, como estão as coisas com você?",saudações
"boa tarde, tudo certo com as coisas?",saudações
"Oi, beleza por aí?",saudações
"Olá, tudo certo por aí?",saudações
"boa tarde, tudo tranquilo contigo?",saudações
"Oi, tudo bem hoje?",saudações
"Olá, tudo bem por aqui?",saudações
"E aí, beleza com você hoje?",saudações
"boa noite, tudo em ordem?",saudações
"Oi, tudo certo aí?",saudações
"bom dia, tudo tranquilo com você?",saudações
"Oi, tudo em ordem por aí?",saudações
Quais são as formas de pagamento disponíveis?,metodo_de_pagamento
são as formas de pagamento?,metodo_de_pagamento
Quais são as opções de pagamento disponíveis?,metodo_de_pagamento
opções de pagamento?,metodo_de_pagamento
Quais formas de pagamento estão disponíveis?,metodo_de_pagamento
Quais formas de pagamento voces aceitam?,metodo_de_pagamento
métodos de pagamento estão disponíveis?,metodo_de_pagamento
Quais métodos de pagamento voces aceitam?,metodo_de_pagamento
formas de pagamento aceitas?,metodo_de_pagamento
Quais opções de pagamento voces oferecem?,metodo_de_pagamento
métodos de pagamento voces oferecem?,metodo_de_pagamento
Quais são os métodos de pagamento aceitos?,metodo_de_pagamento
Quais são as formas de pagamento aceitas pela clínica?,metodo_de_pagamento
tipos de pagamento são aceitos?,metodo_de_pagamento
tipos de pagamento estão disponíveis?,metodo_de_pagamento
Voces aceitam cartão de crédito?,metodo_de_pagamento
Voces aceitam cartão de débito?,metodo_de_pagamento
Aceitam cartão de crédito?,metodo_de_pagamento
Aceitam cartão de débito?,metodo_de_pagamento
Voces aceitam Pix?,metodo_de_pagamento
Voces parcelam a consulta?,metodo_de_pagamento
Voces parcelam?,metodo_de_pagamento
Aceitam Pix?,metodo_de_pagamento
Voces aceitam pagamento em dinheiro?,metodo_de_pagamento
pagamento em dinheiro?,metodo_de_pagamento
Quais formas de pagamento por cartão voces aceitam?,metodo_de_pagamento
Aceitam pagamentos em parcelas?,metodo_de_pagamento
Voces aceitam pagamentos em parcelas?,metodo_de_pagamento
Quais são as formas de parcelamento disponíveis?,metodo_de_pagamento
Voces aceitam pagamento na entrega?,metodo_de_pagamento
Existe opção de parcelamento?,metodo_de_pagamento
Existem opções de parcelamento?,metodo_de_pagamento
Quais são as opções de parcelamento?,metodo_de_pagamento
Quais são as formas de pagar pela consulta?,metodo_de_pagamento
Quais opções de pagamento para consultas voces tem?,metodo_de_pagamento
Voces aceitam cartão de crédito para pagamento da consulta?,metodo_de_pagamento
cartão de crédito?,metodo_de_pagamento
cartão de débito?,metodo_de_pagamento
Aceitam Pix para pagamento da consulta?,metodo_de_pagamento
Posso pagar a consulta com Pix?,metodo_de_pagamento
Posso pagar com dinheiro?,metodo_de_pagamento
Aceitam dinheiro?,metodo_de_pagamento
Quais cartões de crédito são aceitos?,metodo_de_pagamento
Quais cartões de débito são aceitos?,metodo_de_pagamento
Aceitam pagamento por cartão?,metodo_de_pagamento
Posso pagar a consulta em dinheiro?,metodo_de_pagamento
Aceitam pagamento em dinheiro?,metodo_de_pagamento
Voces aceitam todos os tipos de cartão?,metodo_de_pagamento
Posso pagar a consulta com cartão?,metodo_de_pagamento
Aceitam pagamento em cartão?,metodo_de_pagamento
Aceitam pagamento em dinheiro para consulta?,metodo_de_pagamento
Posso pagar a consulta com dinheiro?,metodo_de_pagamento
Quais são os métodos de pagamento aceitos pela clínica?,metodo_de_pagamento
Posso pagar com cartão de crédito?,metodo_de_pagamento
Aceitam pagamento com cartão de crédito?,metodo_de_pagamento
Posso pagar com cartão de débito?,metodo_de_pagamento
Aceitam pagamento com cartão de débito?,metodo_de_pagamento
Aceitam cartões de crédito?,metodo_de_pagamento
Aceitam cartões de débito?,metodo_de_pagamento
Posso pagar com Pix?,metodo_de_pagamento
Aceitam Pix como forma de pagamento?,metodo_de_pagamento
Voces aceitam pagamento por Pix?,metodo_de_pagamento
Posso usar Pix para pagar a consulta?,metodo_de_pagamento
Quaih são os métoeos de pagamento aceitos?a?,metodo_de_pagamento
Voces oferecem parcelamento?,metodo_de_pagamento
Aceitam parcelamento?,metodo_de_pagamento
Existe opção de parcelamento?,metodo_de_pagamento
Posso pagar em parcelas?,metodo_de_pagamento
Voces aceitam pagamento em parcelas?,metodo_de_pagamento
Quais opções de parcelamento estão disponíveis?,metodo_de_pagamento
Voces aceitam pagamento por cartão de crédito?,metodo_de_pagamento
Aceitam pagamento por cartão de débito?,metodo_de_pagamento
Quais formas de pagamento voces aceitam?,metodo_de_pagamento
Posso pagar com cartão?,metodo_de_pagamento
Aceitam pagamento com cartão?,metodo_de_pagamento
Posso pagar em dinheiro?,metodo_de_pagamento
Aceitam cartões de débito?,metodo_de_pagamento
Aceitam cartões de crédito?,metodo_de_pagamento
Aceitam pagamento por Pix?,metodo_de_pagamento
Voces oferecem desconto para pagamento em dinheiro?,metodo_de_pagamento
Existe desconto para pagamento em dinheiro?,metodo_de_pagamento
Posso pagar com cartão de crédito?,metodo_de_pagamento
Voces aceitam todos os cartões de crédito?,metodo_de_pagamento
Aceitam pagamento com cartão de crédito?,metodo_de_pagamento
Posso pagar com cartão de débito?,metodo_de_pagamento
Aceitam pagamento com cartão de débito?,metodo_de_pagamento
Voces aceitam Pix para pagamento?,metodo_de_pagamento
Aceitam Pix para pagar a consulta?,metodo_de_pagamento
Voces aceitam pagamento em dinheiro?,metodo_de_pagamento
Posso pagar em dinheiro?,metodo_de_pagamento
Voces aceitam cartão de crédito?,metodo_de_pagamento
Aceitam pagamento com cartão de crédito?,metodo_de_pagamento
Voces aceitam todos os cartões de débito?,metodo_de_pagamento
Posso pagar a consulta com cartão de débito?,metodo_de_pagamento
Voces aceitam todos os cartões de crédito?,metodo_de_pagamento
Aceitam pagamento em Pix?,metodo_de_pagamento
Voces aceitam todos os tipos de cartão?,metodo_de_pagamento
Posso pagar com cartão de débito?,metodo_de_pagamento
Aceitam pagamento em dinheiro?,metodo_de_pagamento
Posso pagar em dinheiro?,metodo_de_pagamento
Aceitam Pix?,metodo_de_pagamento
Aceitam pagamento por Pix?,metodo_de_pagamento
Voces aceitam cartão de crédito?,metodo_de_pagamento
Aceitam cartão de crédito?,metodo_de_pagamento
Posso pagar com cartão de crédito?,metodo_de_pagamento
Voces aceitam todos os cartões de crédito?,metodo_de_pagamento
Aceitam pagamento com cartão de débito?,metodo_de_pagamento
Voces aceitam todos os cartões de débito?,metodo_de_pagamento
Aceitam pagamento com Pix?,metodo_de_pagamento
Posso pagar com dinheiro?,metodo_de_pagamento
"Quais são as formas de pagamento disponiveis?""",metodo_de_pagamento
Voces aceitam cartão de crédito?,metodo_de_pagamento
Existe opção de parcelamento?,metodo_de_pagamento
Como faço para pagar com cartão de débito?,metodo_de_pagamento
Podem me informar os métodos de pagamento,metodo_de_pagamento
Quais opções de pagamento voces oferecem?,metodo_de_pagamento
posso usar Pix para fazer o pagamento?,metodo_de_pagamento
Posso dividir o pagamento em mais de uma forma,metodo_de_pagamento
Como funcionam os pagamentos para serviços,metodo_de_pagamento
Podem confirmar se meu método de pagamento foi aceito?,metodo_de_pagamento
voces aceitam cartao,metodo_de_pagamento
voces aceitam cartao de credito,metodo_de_pagamento
aceitam cartão,metodo_de_pagamento
aceitam pix,metodo_de_pagamento
voces aceitam pix,metodo_de_pagamento
pix,metodo_de_pagamento
cartao,metodo_de_pagamento
cartao de credito,metodo_de_pagamento
cartao de debito,metodo_de_pagamento
voces parcelam,metodo_de_pagamento
voces parcelam no cartao de credito,metodo_de_pagamento
em ate quantas vezes voces parcelam no cartao,metodo_de_pagamento
cartão de crédito,metodo_de_pagamento
cartão de débito,metodo_de_pagamento
cartão,metodo_de_pagamento
o pagamento e na hora?,metodo_de_pagamento
como e o pagamento,metodo_de_pagamento
pagamento,metodo_de_pagamento
Quais são os próximos dias disponíveis para agendamento?,perguntar_dias_livres
Que data tem disponível?,perguntar_dias_livres
Que dia tem disponível?,perguntar_dias_livres
Que dia tem agenda livre?,perguntar_dias_livres
Que dia tem horário livre?,perguntar_dias_livres
Qual a data mais próxima livre?,perguntar_dias_livres
Voce pode me mostrar as datas disponíveis?,perguntar_dias_livres
Voce pode me apresentar as datas disponíveis em breve?,perguntar_dias_livres
Voce poderia listar os dias disponíveis nas próximas semanas?,perguntar_dias_livres
Me informe sobre qualquer período livre que tenha nos próximos tempos.,perguntar_dias_livres
Quais são os próximos períodos livres que posso marcar uma consulta?,perguntar_dias_livres
Podem me dizer quais são as proximas datas disponíveis?,perguntar_dias_livres
Eu gostaria de ver as próximas oportunidades para agendar.,perguntar_dias_livres
Quando você tem vagas disponíveis para os próximos dias?,perguntar_dias_livres
"Estou procurando dias abertos para consulta nos próximos tempos, você pode ajudar?",perguntar_dias_livres
Pode checar quais são os próximos dias vazios?,perguntar_dias_livres
Quero saber quando são os próximos horários livres.,perguntar_dias_livres
Poderia me informar sobre os próximos espaços disponíveis?,perguntar_dias_livres
Quais são as próximas datas livres para fazer uma reserva?,perguntar_dias_livres
Quais são os próximos períodos livres disponíveis?,perguntar_dias_livres
Pode me informar quais dias estão abertos?,perguntar_dias_livres
Quero uma lista dos dias livres nas próximas semanas.,perguntar_dias_livres
Poderia me mostrar as próximas datas que estão livres para agendamento?,perguntar_dias_livres
Preciso saber quais dias ainda estão disponíveis.,perguntar_dias_livres
Existem vagas nos dias que se aproximam?,perguntar_dias_livres
Que datas estão livres para os proximos dias?,perguntar_dias_livres
Pode verificar quais são os próximos horários desocupados?,perguntar_dias_livres
Estou interessado em saber quais dias estão disponíveis para reserva no próximo mês.,perguntar_dias_livres
"Por favor, liste os dias que estão livres para consulta nos próximos dias.",perguntar_dias_livres
Você tem alguma informação sobre dias livres para a próxima semana?,perguntar_dias_livres
Me dê uma ideia dos próximos dias com horários livres.,perguntar_dias_livres
Vocês têm horários disponíveis para uma consulta nos próximos dias?,perguntar_dias_livres
quais horários estão disponíveis?,perguntar_dias_livres
Há algum horário disponível para consulta nesta semana?,perguntar_dias_livres
Gostaria de saber os horários livres para uma consulta nos próximos dias.,perguntar_dias_livres
Quais horários vocês têm livres para agendamento de consultas?,perguntar_dias_livres
Existe algum horário livre para uma consulta amanhã?,perguntar_dias_livres
Poderiam me informar os horários disponíveis para consultas médicas?,perguntar_dias_livres
Quais horários estão abertos para eu agendar uma consulta?,perguntar_dias_livres
quais horários vocês têm para consulta?,perguntar_dias_livres
Vocês poderiam verificar quais horários estão livres para consulta?,perguntar_dias_livres
Quando posso marcar uma consulta nos próximos dias?,perguntar_dias_livres
Quais horários estão disponíveis para a próxima semana?,perguntar_dias_livres
Qual o primeiro dia livre para agendamento?,perguntar_dias_livres
Tem algum horário disponível ainda nesta semana?,perguntar_dias_livres
Pode me dizer quando há um horário livre para consulta?,perguntar_dias_livres
Qual a primeira data aberta para marcar uma consulta?,perguntar_dias_livres
Quando posso agendar a consulta mais cedo possível?,perguntar_dias_livres
Pode verificar os dias disponíveis para agendamento?,perguntar_dias_livres
Qual é o próximo dia disponível para uma consulta médica?,perguntar_dias_livres
Gostaria de saber quando posso agendar uma consulta.,perguntar_dias_livres
Quais dias você tem disponíveis para consulta?,perguntar_dias_livres
Qual é a data mais próxima para agendar uma consulta?,perguntar_dias_livres
Quando posso marcar uma consulta no futuro próximo?,perguntar_dias_livres
Quais são os horários disponíveis nos próximos dias?,perguntar_dias_livres
Qual é o dia mais rápido para uma consulta disponível?,perguntar_dias_livres
Quais são as opções de datas disponíveis para consulta?,perguntar_dias_livres
Existe algum dia livre para agendamento esta semana?,perguntar_dias_livres
Você pode me mostrar os horários de consulta disponíveis?,perguntar_dias_livres
Posso saber quais são os dias livres para uma consulta?,perguntar_dias_livres
Quais datas você tem livres para agendar consulta?,perguntar_dias_livres
Tem algum horário de consulta para essa semana?,perguntar_dias_livres
Pode me informar sobre os próximos dias abertos para consulta?,perguntar_dias_livres
Preciso saber quais datas estão livres para agendamento.,perguntar_dias_livres
Quais dias da próxima semana estão disponíveis para consulta?,perguntar_dias_livres
Qual é o próximo horário disponível para marcar consulta?,perguntar_dias_livres
Quando há disponibilidade para marcar uma consulta médica?,perguntar_dias_livres
"Preciso agendar uma consulta, quais datas você tem livres?",perguntar_dias_livres
Quando posso marcar a consulta mais próxima possível?,perguntar_dias_livres
Você tem horários livres para os próximos dias?,perguntar_dias_livres
Quando é o próximo horário vago para uma consulta?,perguntar_dias_livres
Qual o primeiro dia livre para consulta médica?,perguntar_dias_livres
