Texto,Intencao
Pode listar os horários disponíveis para agendar uma consulta?,perguntar_dias_livres
Qual a primeira data livre para agendar uma consulta médica?,perguntar_dias_livres
Quais dias estão disponíveis para consulta na próxima semana?,perguntar_dias_livres
Pode me mostrar as datas livres para consulta?,perguntar_dias_livres
Existe alguma data disponível ainda este mês?,perguntar_dias_livres
Quais são os próximos horários livres para agendar consulta?,perguntar_dias_livres
Pode me informar sobre os dias abertos para consulta?,perguntar_dias_livres
Quando posso agendar a consulta mais cedo disponível?,perguntar_dias_livres
Tem alguma data livre para consulta nas próximas semanas?,perguntar_dias_livres
Quais horários posso escolher para marcar uma consulta?,perguntar_dias_livres
Qual é o horário de consulta disponível mais próximo?,perguntar_dias_livres
Preciso saber quando você tem horários livres para agendamento.,perguntar_dias_livres
Tem alguma vaga disponível para consulta nesta semana?,perguntar_dias_livres
Quais dias da semana você tem horários disponíveis para consulta?,perguntar_dias_livres
Quando você tem horários livres para consulta nas próximas semanas?,perguntar_dias_livres
Qual o dia mais próximo com horários livres para consulta?,perguntar_dias_livres
Pode me dizer quando posso agendar uma consulta médica?,perguntar_dias_livres
Qual é a data mais próxima disponível para consulta?,perguntar_dias_livres
Quando posso marcar a consulta mais breve possível?,perguntar_dias_livres
pode ser,concordancia
pode sim,concordancia
quero sim,concordancia
exatamente,concordancia
isso mesmo,concordancia
claro,concordancia
claro que sim,concordancia
com certeza,concordancia
quero sim,concordancia
desejo sim,concordancia
s,concordancia
ss,concordancia
sim,concordancia
isso,concordancia
sou sim,concordancia
sou,concordancia
Com certeza,concordancia
Claro que sim,concordancia
Absolutamente,concordancia
"Sim, por favor",concordancia
Concordo,concordancia
Claro,concordancia
sss,concordancia
Ótimo,concordancia
Óptimo,concordancia
Pode ser,concordancia
"Sim, pode",concordancia
Pode sim,concordancia
"Sim, claro",concordancia
Melhor ainda,concordancia
Concordo,concordancia
Claro,concordancia
Claro que sim,concordancia
Com certeza,concordancia
Claro,concordancia
Sim,concordancia
ja sim,concordancia
"Sim, gostaria de agendar.",concordancia
"Com certeza, quero agendar.",concordancia
"Sim, eu desejo agendar.",concordancia
"Claro, pode agendar pra mim.",concordancia
"Sim, quero marcar sim.",concordancia
"Sim, desejo agendar.",concordancia
"Sim, quero agendar a consulta.",concordancia
"Claro, pode agendar.",concordancia
"Sim, quero sim.",concordancia
"Sim, desejo marcar a consulta.",concordancia
"Com certeza, pode agendar.",concordancia
"Sim, já quero agendar.",concordancia
"Sim, desejo marcar.",concordancia
"Sim, por favor, agende.",concordancia
"Pode marcar, sim.",concordancia
"Sim, quero remarcar a consulta.",concordancia
"Sim, pode remarcar a data da consulta.",concordancia
"Com certeza, quero remarcar.",concordancia
"Sim, preciso remarcar a consulta.",concordancia
"Sim, pode remarcar, por favor.",concordancia
"Sim, quero sim remarcar.",concordancia
"Claro, pode remarcar a consulta.",concordancia
"Sim, desejo remarcar a consulta.",concordancia
"Sim, por favor, remarque para mim.",concordancia
"Sim, quero cancelar a consulta agendada.",concordancia
Pode cancelar minha consulta sim.,concordancia
"Sim, eu desejo cancelar.",concordancia
"Sim, cancele minha consulta, por favor.",concordancia
"Sim, desejo cancelar a consulta.",concordancia
"Sim, pode cancelar a consulta.",concordancia
"Sim, quero cancelar a consulta agendada.",concordancia
"Sim, já tenho cadastro com vocês.",concordancia
"Sim, estou cadastrado com vocês.",concordancia
"Sim, tenho cadastro.",concordancia
"Sim, já tenho cadastro sim.",concordancia
"Sim, eu já sou cadastrado.",concordancia
"Sim, sou cadastrado na plataforma.",concordancia
"Sim, já possuo cadastro com vocês.",concordancia
"Sim, já estou cadastrado.",concordancia
"Sim, já estou registrado com vocês.",concordancia
"Sim, podem checar, já tenho cadastro.",concordancia
"Sim, estou sim cadastrado.",concordancia
"Sim, quero marcar uma consulta.",concordancia
"Sim, desejo marcar uma consulta.",concordancia
"Sim, pode marcar a consulta.",concordancia
"Sim, desejo marcar agora.",concordancia
"Sim, quero marcar a consulta com vocês.",concordancia
"Sim, por favor, marque a consulta.",concordancia
"Sim, desejo marcar a consulta com vocês.",concordancia
"Sim, pode marcar uma consulta pra mim.",concordancia
marcar consulta,marcar_consulta
marcar uma consulta,marcar_consulta
como agendo uma consulta,marcar_consulta
como agendo um horario com voces,marcar_consulta
quero marcar uma consulta com voces,marcar_consulta
como faco para marcar uma consulta com voces,marcar_consulta
Queria agendar um horario,marcar_consulta
Como posso reservar um horário para consulta?,marcar_consulta
É possível marcar um atendimento?,marcar_consulta
Preciso marcar uma consulta.,marcar_consulta
Quero agendar uma consulta para hoje.,marcar_consulta
Como faço para reservar uma consulta?,marcar_consulta
Gostaria de marcar uma consulta.,marcar_consulta
Preciso de um agendamento para uma consulta,marcar_consulta
Como posso agendar uma consulta,marcar_consulta
Podem agendar uma consulta para mim,marcar_consulta
Como posso proceder para reservar uma consulta,marcar_consulta
Quero agendar uma consulta,marcar_consulta
Como faço para reservar um horário para uma consulta,marcar_consulta
É possível marcar um atendimento?,marcar_consulta
Eu gostaria de marcar uma consulta,marcar_consulta
Preciso de uma consulta,marcar_consulta
Como posso proceder para reservar uma consulta,marcar_consulta
Gostaria de agendar uma consulta médica.,marcar_consulta
Preciso marcar uma consulta.,marcar_consulta
Quero agendar uma consulta.,marcar_consulta
Qual é o procedimento para marcar uma consulta,marcar_consulta
É possível agendar uma consulta,marcar_consulta
Poderia me ajudar a agendar uma consulta médica?,marcar_consulta
Estou procurando marcar uma consulta.,marcar_consulta
Posso reservar um horário para consulta?,marcar_consulta
Gostaria de marcar uma consulta.,marcar_consulta
Quero agendar uma consulta,marcar_consulta
Estou interessado em marcar uma consulta.,marcar_consulta
Pode me orientar sobre como marcar uma consulta,marcar_consulta
Preciso de uma consulta,marcar_consulta
Gostaria de saber como agendar uma consulta,marcar_consulta
Posso marcar uma consulta com a médica,marcar_consulta
Podem agendar uma consulta para mim,marcar_consulta
Estou procurando agendar uma consulta,marcar_consulta
É possível agendar uma consulta,marcar_consulta
Como faço para reservar um horário para uma consulta médica,marcar_consulta
"Gostaria de marcar uma consulta, como devo proceder?",marcar_consulta
Como posso marcar uma consulta com a clínica?,marcar_consulta
Preciso de informações sobre como agendar uma consulta.,marcar_consulta
Como agendar uma consulta médica na clínica?,marcar_consulta
Gostaria de saber como posso marcar uma consulta.,marcar_consulta
Qual o processo para agendar uma consulta com vocês?,marcar_consulta
Posso agendar uma consulta para semana que vem?,marcar_consulta
Queria marcar uma consulta para amanhã.,marcar_consulta
Como faço para marcar um horário disponível?,marcar_consulta
Vocês podem agendar uma consulta pra mim?,marcar_consulta
Preciso agendar um horário para consulta.,marcar_consulta
Como posso marcar uma consulta com um médico?,marcar_consulta
Quero agendar um atendimento com vocês.,marcar_consulta
Gostaria de marcar um horário para consulta médica.,marcar_consulta
Como agendar um atendimento na clínica?,marcar_consulta
Pode me ajudar a agendar uma consulta?,marcar_consulta
Tem como agendar uma consulta?,marcar_consulta
Poderiam me informar como faço para agendar uma consulta?,marcar_consulta
Quero marcar uma consulta médica.,marcar_consulta
Como posso fazer para marcar um atendimento?,marcar_consulta
Qual o procedimento para marcar um horário de consulta?,marcar_consulta
"Preciso de uma consulta com o médico, como agendar?",marcar_consulta
Como proceder para marcar uma consulta?,marcar_consulta
Poderiam agendar uma consulta para mim?,marcar_consulta
Quero saber como posso marcar uma consulta médica.,marcar_consulta
Qual a melhor maneira de marcar uma consulta com vocês?,marcar_consulta
Como posso agendar uma consulta médica?,marcar_consulta
Tem algum horário disponível para marcar uma consulta?,marcar_consulta
Gostaria de marcar um atendimento na clínica.,marcar_consulta
"Preciso marcar uma consulta para hoje, como faço?",marcar_consulta
Quero reservar um horário para atendimento.,marcar_consulta
Como posso agendar uma consulta médica com urgência?,marcar_consulta
Podem me orientar sobre como marcar uma consulta?,marcar_consulta
Tem como marcar uma consulta com vocês?,marcar_consulta
Preciso agendar uma consulta urgente.,marcar_consulta
Quero saber como posso agendar uma consulta para a próxima semana.,marcar_consulta
Como posso reservar uma consulta na clínica?,marcar_consulta
Queria reservar um horário para uma consulta.,marcar_consulta
Como agendar um atendimento com vocês?,marcar_consulta
Preciso saber como marcar uma consulta médica.,marcar_consulta
Quero reservar um horário para a consulta médica.,marcar_consulta
Como posso garantir um horário para consulta?,marcar_consulta
Preciso agendar uma consulta o mais rápido possível.,marcar_consulta
Gostaria de reservar um atendimento.,marcar_consulta
Como faço para marcar uma consulta urgente?,marcar_consulta
Tem algum procedimento para marcar uma consulta médica?,marcar_consulta
Preciso marcar uma consulta para essa semana.,marcar_consulta
Vocês podem me informar como agendar uma consulta?,marcar_consulta
Como faço para reservar um horário na clínica?,marcar_consulta
Tem algum horário para eu marcar uma consulta?,marcar_consulta
Quero agendar um horário disponível para consulta.,marcar_consulta
Poderia detalhar quais servicos voces fornecem?,informacoes_sobre_servico
Gostaria de uma descrição dos servicos que voces disponibilizam.,informacoes_sobre_servico
Que servicos sua clínica oferece aos pacientes?,informacoes_sobre_servico
Quais são os servicos mais populares que voces oferecem?,informacoes_sobre_servico
"Estou curioso sobre os servicos, voce pode explicar?",informacoes_sobre_servico
Pode listar os servicos de saúde que voces disponibilizam?,informacoes_sobre_servico
Gostaria de saber mais sobre os servicos  que voces oferecem.,informacoes_sobre_servico
Poderia me fornecer uma visão geral dos seus servicos médicos?,informacoes_sobre_servico
Pode me explicar os diferentes tipos de consultas que voces oferecem?,informacoes_sobre_servico
Que tipos de serviços de saúde voces prestam?,informacoes_sobre_servico
Quais tratamentos específicos voces disponibilizam,informacoes_sobre_servico
Eu gostaria de saber mais sobre os programas de que voces conduzem.,informacoes_sobre_servico
Poderia listar todos os serviços médicos que voces oferecem?,informacoes_sobre_servico
Como funciona a clinica,informacoes_sobre_servico
Me fale mais sobre as especialidades da clínica.,informacoes_sobre_servico
Gostaria de uma descrição dos serviços que voces disponibilizam.,informacoes_sobre_servico
Quero saber quais são os procedimentos disponíveis.,informacoes_sobre_servico
Que serviços sua clínica oferece aos pacientes?,informacoes_sobre_servico
Quais são os serviços mais populares que voces oferecem?,informacoes_sobre_servico
"Estou curioso sobre os serviços, voce pode explicar?",informacoes_sobre_servico
Quais tratamentos voces oferecem para condições específicas?,informacoes_sobre_servico
Pode listar os serviços de saúde que voces disponibilizam?,informacoes_sobre_servico
Que tipo de consultas voces proporcionam?,informacoes_sobre_servico
Poderia me fornecer uma visão geral dos seus serviços médicos?,informacoes_sobre_servico
Estou interessado sobre os serviços que voces disponibilizam.,informacoes_sobre_servico
Estou interessado nos serviços terapeuticos disponíveis,informacoes_sobre_servico
Pode descrever as várias opções de serviço que sua clínica possui?,informacoes_sobre_servico
"Gostaria de conhecer os serviços que voces oferecem, como funcionam?",informacoes_sobre_servico
Pode me dar uma visão geral das consultas especializadas que voces tem?,informacoes_sobre_servico
Quais são as suas principais ofertas de serviços de saúde mental?,informacoes_sobre_servico
Quero informações detalhadas sobre os serviços de diagnóstico que voces tem.,informacoes_sobre_servico
Como funciona a clínica?,informacoes_sobre_servico
Que profissionais voces tem na clínica?,informacoes_sobre_servico
Que tipo de consulta tem na clínica?,informacoes_sobre_servico
Voces tem psicologo,informacoes_sobre_servico
Voces tem qual medico,informacoes_sobre_servico
Voces tem quais psicologos,informacoes_sobre_servico
Qual medico psiquiatra tem,informacoes_sobre_servico
Quais serviços médicos vocês oferecem na clínica?,informacoes_sobre_servico
Gostaria de saber quais tipos de serviços estão disponíveis.,informacoes_sobre_servico
Que tratamentos a clínica disponibiliza?,informacoes_sobre_servico
Quais são os serviços que a clínica oferece aos pacientes?,informacoes_sobre_servico
Vocês podem me dizer quais são os serviços de saúde disponíveis?,informacoes_sobre_servico
Quais especialidades médicas estão disponíveis na clínica?,informacoes_sobre_servico
O que a clínica oferece em termos de serviços médicos?,informacoes_sobre_servico
Quais são os principais serviços de saúde da clínica?,informacoes_sobre_servico
Quais tratamentos posso encontrar na clínica?,informacoes_sobre_servico
Gostaria de saber mais sobre os serviços da clínica.,informacoes_sobre_servico
Que tipo de atendimento vocês prestam na clínica?,informacoes_sobre_servico
Vocês oferecem serviços de saúde mental?,informacoes_sobre_servico
Quais são os serviços especializados oferecidos pela clínica?,informacoes_sobre_servico
Que serviços médicos estão à disposição dos pacientes?,informacoes_sobre_servico
Quais são os procedimentos médicos disponíveis na clínica?,informacoes_sobre_servico
Quais serviços são oferecidos para consultas médicas?,informacoes_sobre_servico
Posso saber quais tipos de consulta a clínica oferece?,informacoes_sobre_servico
Quais tratamentos e exames são oferecidos pela clínica?,informacoes_sobre_servico
Vocês têm algum serviço especializado em saúde feminina?,informacoes_sobre_servico
Que tipos de serviços clínicos estão disponíveis?,informacoes_sobre_servico
Quais tratamentos a clínica tem para oferecer?,informacoes_sobre_servico
Vocês podem me dar detalhes sobre os serviços prestados?,informacoes_sobre_servico
Quais especialidades médicas posso encontrar na clínica?,informacoes_sobre_servico
A clínica oferece serviços de fisioterapia?,informacoes_sobre_servico
Quais são os serviços mais procurados da clínica?,informacoes_sobre_servico
O que a clínica disponibiliza em termos de consultas?,informacoes_sobre_servico
Quais tipos de consultas médicas vocês fazem?,informacoes_sobre_servico
Vocês têm serviços de diagnóstico por imagem?,informacoes_sobre_servico
Quais são os serviços médicos mais comuns na clínica?,informacoes_sobre_servico
Gostaria de saber mais sobre os procedimentos médicos disponíveis.,informacoes_sobre_servico
Quais tratamentos para dor a clínica oferece?,informacoes_sobre_servico
A clínica oferece serviços de nutrição?,informacoes_sobre_servico
Vocês têm serviços de odontologia?,informacoes_sobre_servico
Quais são os serviços de apoio à saúde mental na clínica?,informacoes_sobre_servico
Vocês fazem exames laboratoriais na clínica?,informacoes_sobre_servico
Posso saber quais serviços clínicos vocês prestam?,informacoes_sobre_servico
Quais são os serviços médicos disponíveis para atendimento?,informacoes_sobre_servico
Vocês fazem exames de rotina na clínica?,informacoes_sobre_servico
Que tipos de especialidades médicas estão disponíveis para consultas?,informacoes_sobre_servico
Vocês oferecem consultas com especialistas em cardiologia?,informacoes_sobre_servico
A clínica tem serviços de pediatria?,informacoes_sobre_servico
Quais serviços vocês disponibilizam para pacientes em tratamento?,informacoes_sobre_servico
Quais tratamentos médicos são feitos na clínica?,informacoes_sobre_servico
Vocês oferecem algum serviço de emergência médica?,informacoes_sobre_servico
Quais são os procedimentos médicos oferecidos na clínica?,informacoes_sobre_servico
Quais serviços de prevenção e cuidados de saúde vocês oferecem?,informacoes_sobre_servico
A clínica oferece consultas com especialistas?,informacoes_sobre_servico
Vocês têm algum serviço especializado em ortopedia?,informacoes_sobre_servico
Quais exames podem ser realizados na clínica?,informacoes_sobre_servico
quanto ta a consulta com o psicologo,preco_consulta
quanto ta a consulta com o psiquiatra,preco_consulta
quanto ta a a consulta,preco_consulta
qual o preco da consulta,preco_consulta
Quanto custa uma consulta geral nesta clínica,preco_consulta
Pode me informar qual é o valor de uma consulta,preco_consulta
Qual é o custo para uma consulta com um especialista?,preco_consulta
Voce poderia me dizer quanto é cobrado por uma consulta?,preco_consulta
Gostaria de saber o preço de uma consulta?,preco_consulta
Qual é o valor cobrado para uma consulta?,preco_consulta
Pode me dizer qual o custo de uma consulta nesta clínica?,preco_consulta
Pode fornecer os preços para as consultas disponíveis?,preco_consulta
Quanto custa a consulta?,preco_consulta
Qual o valor da consulta?,preco_consulta
Quanto custa uma consulta nesta clínica?,preco_consulta
qual o custo de uma consulta nesta clínica?,preco_consulta
Qual é o valor?,preco_consulta
custo,preco_consulta
preco,preco_consulta
preço,preco_consulta
quanto custa,preco_consulta
qual e o valor,preco_consulta
valor,preco_consulta
e o valor,preco_consulta
e o preço,preco_consulta
Quanto custa o atendimento com um especialista?,preco_consulta
Qual é o preço para uma consulta de rotina?,preco_consulta
Vocês podem me informar o custo de uma consulta médica?,preco_consulta
Quanto está a consulta com o clínico geral?,preco_consulta
Qual é o valor de uma consulta com o pediatra?,preco_consulta
Quanto custa uma consulta de emergência?,preco_consulta
Vocês podem me dizer o valor das consultas na clínica?,preco_consulta
Qual é o preço de uma consulta especializada?,preco_consulta
Quanto custa um exame médico na clínica?,preco_consulta
Quanto sai uma consulta de acompanhamento?,preco_consulta
Qual é o valor cobrado para um exame de rotina?,preco_consulta
Quanto cobram pela consulta com o nutricionista?,preco_consulta
Qual é o preço para um checkup médico completo?,preco_consulta
Quanto custa a avaliação inicial com o cardiologista?,preco_consulta
Qual o valor de uma consulta para diagnóstico?,preco_consulta
Qual é o preço de uma consulta com o ginecologista?,preco_consulta
Quanto custa agendar uma consulta com o dermatologista?,preco_consulta
Qual é o custo de uma consulta para consulta de retorno?,preco_consulta
Quanto vocês cobram por um exame de sangue?,preco_consulta
Qual o valor de uma consulta com o neurologista?,preco_consulta
Qual é o preço de uma consulta com o ortopedista?,preco_consulta
Quanto custa um atendimento na clínica?,preco_consulta
Qual o valor cobrado por uma consulta na especialidade de endocrinologia?,preco_consulta
Vocês podem me dizer quanto custa uma consulta com o urologista?,preco_consulta
Quanto está a consulta para acompanhamento com o psiquiatra?,preco_consulta
Qual é o preço para uma consulta com o oftalmologista?,preco_consulta
Quanto custa a avaliação inicial com o fisioterapeuta?,preco_consulta
Qual é o valor de uma consulta para exames preventivos?,preco_consulta
Quanto custa a consulta com o cardiologista?,preco_consulta
Vocês poderiam informar o custo de uma consulta de rotina?,preco_consulta
Quanto está a consulta com o reumatologista?,preco_consulta
Qual é o preço cobrado por uma consulta de emergência?,preco_consulta
Qual o valor para uma consulta com o gastroenterologista?,preco_consulta
Quanto custa uma consulta de triagem na clínica?,preco_consulta
Qual é o preço de um exame laboratorial básico?,preco_consulta
Vocês podem me informar o valor da consulta com o psicólogo?,preco_consulta
Quanto custa o atendimento médico na clínica?,preco_consulta
Qual o preço para uma avaliação inicial com o oncologista?,preco_consulta
Qual o custo para realizar um exame de imagem?,preco_consulta
Quanto custa uma consulta de revisão com o pediatra?,preco_consulta
Qual é o preço para uma consulta de urgência?,preco_consulta
Vocês poderiam me dizer o valor cobrado por uma consulta com o neurologista?,preco_consulta
Quanto custa agendar uma consulta com o psicoterapeuta?,preco_consulta
Qual é o preço para uma consulta de rotina com o clínico geral?,preco_consulta
Qual é o valor de uma consulta na especialidade de geriatria?,preco_consulta
Quanto custa realizar um exame físico completo?,preco_consulta
Qual o valor de uma consulta de acompanhamento com o cardiologista?,preco_consulta
Vocês podem me dizer quanto custa uma consulta de emergência?,preco_consulta
Quanto sai uma consulta com o pneumologista?,preco_consulta
Quais planos de saúde são válidos nesta clínica?,verificar_plano_de_saude
Vocês aceitam todos os tipos de convênio médico?,verificar_plano_de_saude
Meu plano de saúde cobre consultas especializadas?,verificar_plano_de_saude
Quais são os planos que vocês aceitam para procedimentos?,verificar_plano_de_saude
Posso usar meu seguro de saúde para consultas de rotina aqui?,verificar_plano_de_saude
Vocês aceitam planos de saúde para exames?,verificar_plano_de_saude
O meu convênio médico é aceito para consultas de urgência?,verificar_plano_de_saude
Como faço para confirmar se meu plano de saúde é aceito?,verificar_plano_de_saude
Vocês têm parceria com quais operadoras de saúde?,verificar_plano_de_saude
Meu plano cobre consultas de especialidade médica?,verificar_plano_de_saude
Quais convênios médicos são aceitos para tratamentos específicos?,verificar_plano_de_saude
Como posso verificar se meu convênio cobre os serviços da clínica?,verificar_plano_de_saude
O plano de saúde que possuo cobre procedimentos médicos aqui?,verificar_plano_de_saude
Vocês aceitam convênios para consultas de emergência?,verificar_plano_de_saude
Meu plano cobre consultas e exames nesta clínica?,verificar_plano_de_saude
Vocês confirmam a cobertura do plano antes de realizar o atendimento?,verificar_plano_de_saude
Quais convênios aceitam para consultas com especialistas?,verificar_plano_de_saude
Posso usar meu convênio para consultas e procedimentos?,verificar_plano_de_saude
Vocês trabalham com o plano de saúde da Unimed?,verificar_plano_de_saude
O meu seguro cobre exames laboratoriais?,verificar_plano_de_saude
Vocês aceitam qualquer plano de saúde para consultas?,verificar_plano_de_saude
Como posso verificar se meu convênio cobre os exames que preciso?,verificar_plano_de_saude
Meu plano cobre consultas de retorno?,verificar_plano_de_saude
Quais operadoras de saúde vocês têm acordo?,verificar_plano_de_saude
Vocês aceitam convênios médicos para todos os tipos de consulta?,verificar_plano_de_saude
Posso utilizar meu plano de saúde para consultas com psicólogos?,verificar_plano_de_saude
Vocês aceitam planos de saúde para procedimentos cirúrgicos?,verificar_plano_de_saude
Como confirmar se meu seguro de saúde cobre consultas especializadas?,verificar_plano_de_saude
Quais seguros de saúde são aceitos para exames de imagem?,verificar_plano_de_saude
Meu plano de saúde é aceito para consultas de rotina?,verificar_plano_de_saude
Vocês têm acordo com planos de saúde internacionais?,verificar_plano_de_saude
Meu convênio médico cobre consultas com dermatologistas?,verificar_plano_de_saude
O seguro cobre o custo de consultas de urgência?,verificar_plano_de_saude
Vocês aceitam o convênio da Amil para consultas médicas?,verificar_plano_de_saude
Meu plano de saúde cobre procedimentos ambulatoriais aqui?,verificar_plano_de_saude
Posso usar meu seguro de saúde para marcar uma consulta de rotina?,verificar_plano_de_saude
Quais seguradoras são aceitas para tratamentos médicos?,verificar_plano_de_saude
Vocês aceitam planos de saúde para consultas com cardiologistas?,verificar_plano_de_saude
O meu plano cobre exames e consultas de rotina?,verificar_plano_de_saude
Como verificar se o plano cobre os serviços da clínica?,verificar_plano_de_saude
Vocês trabalham com todos os tipos de convênio médico?,verificar_plano_de_saude
Meu plano cobre atendimento de emergência?,verificar_plano_de_saude
Vocês aceitam planos de saúde para exames de laboratório?,verificar_plano_de_saude
Como posso saber se meu plano de saúde é aceito na clínica?,verificar_plano_de_saude
O seguro cobre os custos de consultas com pediatras?,verificar_plano_de_saude
Meu convênio cobre todos os procedimentos médicos nesta clínica?,verificar_plano_de_saude
Vocês aceitam convênios para consultas e exames?,verificar_plano_de_saude
Quais são os convênios aceitos para atendimento de urgência?,verificar_plano_de_saude
Posso utilizar meu plano de saúde para consultas psiquiátricas?,verificar_plano_de_saude
Voces aceitam o plano de saude?,verificar_plano_de_saude
Meu plano de saúde cobre consulta ?,verificar_plano_de_saude
Voces trabalham com o plano ?,verificar_plano_de_saude
Esse serviço é coberto pelo meu lano de saúde?,verificar_plano_de_saude
Quais planos de saúde são aceitos aí?,verificar_plano_de_saude
O plano que eu tenho é válido para consulta com voces?,verificar_plano_de_saude
Meu plano de saúde inclui esse tipo de tratamento?,verificar_plano_de_saude
Voces aceitam planos de saúde,verificar_plano_de_saude
Como posso verificar se meu plano é aceito?,verificar_plano_de_saude
Posso usar meu plano de saúde para todos os serviços?,verificar_plano_de_saude
Quais planos voces aceitam,verificar_plano_de_saude
Meu plano de saude,verificar_plano_de_saude
É necessário autorização do plano para consulta ?,verificar_plano_de_saude
Voces confirmam cobertura com o plano de saude,verificar_plano_de_saude
Meu plano cobre consulta de emergencia?,verificar_plano_de_saude
Quais seguros de saude voces aceitam?,verificar_plano_de_saude
Este tratamento pode ser coberto pelo meu seguro de saude?,verificar_plano_de_saude
convenio médico,verificar_plano_de_saude
Com quais convenios médicos voces tem parceria?,verificar_plano_de_saude
Posso usar meu plano de assistencia médica para serviços aqui?,verificar_plano_de_saude
Como faço para saber se voces aceitam meu plano de saude?,verificar_plano_de_saude
Meu seguro cobre consultas nessa clínica?,verificar_plano_de_saude
Voces tem acordo com planos de saude para procedimentos especiais?,verificar_plano_de_saude
É possível utilizar meu seguro de saude internacional nesta clínica?,verificar_plano_de_saude
Quais são os planos de saude aceitos ?,verificar_plano_de_saude
